date,rate,review,weekday
25-07-09,5.0,유통기한 넉넉하고 잘배성 되어 왔네요,Wednesday
25-07-15,5.0,콜라는 코카콜라죠 너무 맛잇죠,Tuesday
25-07-15,5.0,"콜라는 떨어지면 아니됩니다,,",Tuesday
25-07-17,5.0,잘 받았습니다,Thursday
25-07-04,5.0,누구나 내외국인 남녀노소 다 좋아하는 콜라! 사무실 냉장고에 떨어지지 않게 항상 챙겨 놓고 있어요,Friday
25-07-02,5.0,좋은가격에 좋은제품 잘구매했네요 굿초이스 굿,Wednesday
25-06-16,5.0,일요배송으로 되어있어 토요일 16시쯤 주문했는데 정말 일요일에 배송받았네요! 외출하고 돌아왔더니 현관앞에!  중간 중간 배송안내 메세지도 받게 되어 아주 기분좋은 구매가 되었네요!,Monday
25-07-09,5.0,한번에 마시게 좋은 사이즈라 좋습니다,Wednesday
25-07-17,5.0,콜라가 리뷰가 필요한가?,Thursday
25-07-07,5.0,싸고 빠른 배송에 만족합니다  여름나기에 필수품입니다,Monday
25-07-11,5.0,탄산이 많아서 너무 좋아요,Friday
25-07-09,5.0,배송포장좋아요 재구매,Wednesday
25-07-10,5.0,탄산이 오래 유지돼서 맛나요,Thursday
25-07-11,5.0,맛있어요 좋아용,Friday
25-07-08,5.0,용량도 적당하고 포장도 꼼꼼하게 배송 상태도 만족합니다,Tuesday
25-07-10,5.0,빠른 배송 감사합니다.,Thursday
25-07-05,5.0,배송빠르고 저렴하게 잘샀어요,Saturday
25-07-12,5.0,"포장, 배송 모두 만족입니다.",Saturday
25-07-16,5.0,맛있습니다  굿,Wednesday
25-06-17,5.0,유통기한 넉넉하고 배송 빨라요 여기도 코크직영인데 유통업체마다 배송오는게 다른게 좀 아쉽지만 터져도 재배송바로 해주셔서 만족합니다,Tuesday
25-07-10,5.0,배송 빠르고 좋아요,Thursday
25-07-03,5.0,피자나 치킨 간식에 꼭 필요한 우리집 콜라 역씨 콜라는 코카콜라가 짱입니다요,Thursday
25-07-10,5.0,탄산도 좋고 한 번먹는 양 좋아요.,Thursday
25-07-13,5.0,한번에 먹기 좋은양입니다,Sunday
25-07-09,5.0,빠른배송 감사합니다,Wednesday
25-07-08,5.0,빨라요 자주 이용할게요,Tuesday
25-07-08,5.0,샀던기록있어여 다른거 찾기 귗낳으니 여기서 사는중,Tuesday
25-07-17,5.0,다 마시고 없어요,Thursday
25-07-11,5.0,본가에 보냈는데 잘 도착한거 같네요,Friday
25-07-13,5.0,재구매 적당히 잘 먹어요,Sunday
25-07-03,5.0,다량으로 살때 좋아요 사이즈가 작아서 딱이에요,Thursday
25-07-11,5.0,캔콜라 시원해서 좋아요,Friday
25-07-12,5.0,피티병보다 더 좋은것 같아요,Saturday
25-07-07,5.0,배송도 빠르고 가성비 너무나 만족합니다,Monday
25-07-09,5.0,한번에 먹기 딱 좋아서 쟁여두고 먹고 있어요,Wednesday
25-07-16,5.0,완벽해요 좋아요..,Wednesday
25-06-24,5.0,배송도 빠르고 맛있어요 코카콜라가 젤 입에 맞습니다,Tuesday
25-07-12,5.0,더운 무더위 시원한 콜라한켄,Saturday
25-06-25,5.0,딱 정당한 량인듯 해서 자주 구매해두는 편이예요  포장부분이 아쉽지만 잘 받았습니다,Wednesday
25-07-04,5.0,배송도 빠르고 저렴하게 잘 구매했습니다,Friday
25-07-10,5.0,배송 빠르게 잘 받았습니다,Thursday
25-07-11,5.0,쟁여넣고 먹기에 제일좋은 제품,Friday
25-07-08,5.0,재구매 입니다  양이 적당해서 좋습니다 시원한 여름,Tuesday
25-06-27,5.0,저렴하게 잘 샀어요재구매 의사있습니다,Friday
25-07-06,5.0,항사이셔먹는곳이에요. 감사햅니다.,Sunday
25-07-09,5.0,항상 잘 이용하고 있습니다,Wednesday
25-07-10,5.0,한 모금 마시고 싶을 때 마시기 좋아오.,Thursday
25-07-17,5.0,너무좋아요감사합니다 번창하세요또사고싶어요짱짱,Thursday
25-07-08,5.0,빠른 배송 감사합니다.,Tuesday
25-07-04,5.0,사이즈 딱 좋아요  번창하세요,Friday
25-07-08,5.0,배송빠르고 가격이착합니다,Tuesday
25-07-05,5.0,가성비 좋은 상품이예요 쟁여놓고 쓰고 있어요,Saturday
25-07-15,5.0,빠른배송 좋아요  안찌그러져서 왔네요  사이즈도 한번에 먹기 너무 좋아요,Tuesday
25-06-29,5.0,배송 빠르네요. 토요일 저녁에 주문해서 일요일 오전에 받았습니다.,Sunday
25-07-10,5.0,다먹고 또 주문했습니다,Thursday
25-07-10,5.0,잘 도착했고 빠릅니다,Thursday
25-07-03,5.0,자주시켜요 그냥 삽니다 저렴하고 좋아요,Thursday
25-07-13,5.0,자주애용하고있습니다!!,Sunday
25-07-13,5.0,항상 쟁여두고 먹네요.,Sunday
25-07-08,5.0,찌그러진 부분없이 안전하게 잘 배송됐어요,Tuesday
25-07-04,5.0,여름이라 음료수 많이 먹어 구입했어요  배송 빠르네요,Friday
25-06-21,5.0,주문 하루 만에 바로 왔네요 빠른 배송 좋은 상품 감사 함니다,Saturday
25-06-17,5.0,캔콜라 좋아하는데 배송도 빠르고 한번에 꺼내먹기 좋은 용량이라 좋아요. 항상 맛있게 먹고있습니다,Tuesday
25-06-25,5.0,맛있게 잘 먹고있어요  더울때 갈증해소로는 짱입니다  소량이라 버려지는거없이 꿀꺽,Wednesday
25-07-04,5.0,무더운 여름 콜라만한게 없죠  시원하게 마시니 너무 좋아요,Friday
25-07-10,5.0,"빠른 배송에 그저 웃지요,",Thursday
25-06-27,5.0,빠른 베송과 꼼꼼한 포장 감사드립니다.,Friday
25-07-08,5.0,쟁여놓고먹습니다ㅎㅎ  굿굿,Tuesday
25-07-09,5.0,비상식량 확보 너무좋네요,Wednesday
25-07-06,5.0,작고 딱 한끼간식으로  새롭게  한캔씩 너무 좋아요,Sunday
25-06-12,5.0,남편이 콜라를 아주좋아해요 냉장고에 꼭 쟁여놓고 먹어요 맛있고 용량도 한번먹기 좋아요,Thursday
25-06-26,5.0,역시 배송하난 최고네요  잘 받앗습니다 감사합니다,Thursday
25-07-11,5.0,잘 받았습니다 잘마실께요,Friday
25-07-10,3.0,캔 바닥이 찌그러져서 왔어요,Thursday
25-07-08,5.0,항상사용하던 제품 입니다,Tuesday
25-07-06,5.0,파손 없이  빠른 배송  감사합니다,Sunday
25-07-06,5.0,빠른배송 감사합니당 재구매할게요,Sunday
25-07-12,5.0,항상 쟁여 놓고 먹어요.,Saturday
25-07-15,5.0,너무좋아요감사합니다 번창하세요또사고싶어요짱짱,Tuesday
25-07-07,5.0,빠른 배송 감사합니다,Monday
25-06-23,5.0,한번에 먹기에 딱 좋은양이라 좋아요.  캔콜라는 탄산도 풍부하고 먹기 편해서 아주 좋아요,Monday
25-07-13,5.0,"빠른배송 감사 ..,",Sunday
25-07-04,5.0,전에 산거 다 먹고 다시 재구매 했습니다.  요녀석 콜라 집에 필수품이에요,Friday
25-07-15,5.0,콜라는 역시 코카콜라죠,Tuesday
25-07-14,5.0,모두가  좋아해요 느끼한거 먹고 나면 생각나는 맛,Monday
25-07-12,5.0,우리집 정기 구매템,Saturday
25-07-10,5.0,콜라는못참지.. 이걸 어케 끊으리,Thursday
25-07-10,5.0,한번먹기좋은 사이즈에요,Thursday
25-07-11,5.0,빠른배송 좋네요,Friday
25-06-23,5.0,꾸준히 주문하는 탄산입니다 작은양이라 마시기 편해요 배송빨라서 좋습니다,Monday
25-07-09,4.0,배송 빠르게 잘왔어요.,Wednesday
25-06-28,5.0,가격이 비싸져서 아쉽지만 배송빠르고 좋아요,Saturday
25-07-08,5.0,배송이 아주 빠릅니다,Tuesday
25-07-06,5.0,항상 맛있게 잘 마시고 있습니다,Sunday
25-07-08,5.0,맛있어서 계속 시켜요,Tuesday
25-07-08,5.0,항상 맛있는  코카콜라,Tuesday
25-07-06,5.0,싸게 잘구매했네요 좋아요,Sunday
25-07-12,5.0,늘 주문해 잘 마시고 있어요ㆍ,Saturday
25-07-09,5.0,빠른배송감시합니다.,Wednesday
25-07-06,5.0,배송도 빠르고 찌그러진거 하나 없이 깔끔하게 배송되어 왓어요. 다른곳에선 밑부부이 다 볼록해진게 와서 세워지지도 않고 불편했었거든요. 모두 좋네요.,Sunday
25-07-10,5.0,항상먹는거라 좋습니다,Thursday
25-07-15,5.0,공홈에서 너무나 자주 주문해서 먹어요 배송이빨라좋아요,Tuesday
25-07-09,5.0,항상 잘 먹고있습니다.,Wednesday
25-07-04,5.0,좋아요 재구매하고싶어요,Friday
25-07-08,5.0,만족합니다 좋습니다,Tuesday
25-07-08,5.0,배송이 진짜 빠릅니다,Tuesday
25-07-09,5.0,배송이 빨라서 좋습니다,Wednesday
25-07-07,5.0,배송빠르고 좋아요!!,Monday
25-07-07,5.0,자주 구매합니다 작은 용량이  딱 좋아여,Monday
25-07-12,5.0,배솤굿굿 맛도굿굿!,Saturday
25-07-11,5.0,조금 ㅉㅣ그러진게 있는데 상품에는 문제없네요.,Friday
25-07-07,5.0,잘 받았습니다 많이파세요,Monday
25-07-08,4.0,빠른 배송이 좋았습니다.,Tuesday
25-07-09,5.0,시원하게 간식으로 먹고있어요!,Wednesday
25-07-10,5.0,항상 즐겨마시고 있어요,Thursday
25-07-05,5.0,원캔원샷  콜라는 190ml  캔이  한번에 마시기에  좋아요,Saturday
25-07-08,5.0,중독되었음..  딱 적당한 양 190ml,Tuesday
25-07-16,5.0,우리집 늘 쟁겨놓고 먹는 콜라쓰!!  이녀석 없음 허전할 정도로 냉장고에 늘 구비해놓고 있네요!  맛도,Wednesday
25-06-29,5.0,엄마가 좋아하셔서 주문해드렸어요  빠른배송 감사해요,Sunday
25-07-02,5.0,항상 먹던거 재 구매합니다.  감사합니다.,Wednesday
25-07-06,5.0,배송이 빨라서 좋아요,Sunday
25-07-02,5.0,빠른 배송 감사합니다  잘 먹을께요,Wednesday
25-06-30,5.0,집에 항상 쟁여둡니다 생각날때 시원하게 한입콜라 하기에 딱 좋아요,Monday
25-07-01,5.0,사무실에서 마시려고 구매 했는데 사이즈가 딱이예요,Tuesday
25-07-02,5.0,사무실 간식으로 1번에 먹기 좋은 용량으로 구매했구요 항상 먹던맛 맛있죠,Wednesday
25-07-05,5.0,빠른배송감사합니다.,Saturday
25-07-20,5.0,미니한 용량. 저렴하게 잘 구입했어요.,Sunday
25-07-03,5.0,배송도빠르고 좋은 가격에 대량 구매했어요!,Thursday
25-07-03,5.0,배송빠르고 좋아요 또 올께요,Thursday
25-07-07,5.0,빠르게 잘 도착했어요,Monday
25-07-07,5.0,빠르게 잘 도착했어요,Monday
25-07-18,5.0,감사합니다. 맛있게 잘 먹었습니다.,Friday
25-07-04,5.0,여름 이라많이먹게됩니다좋아요,Friday
25-06-29,5.0,빠른 배송 좋아요 가볍게 먹기 좋은 양이라 자주시켜요,Sunday
25-07-09,5.0,양많고 잘 먹어요 재구매,Wednesday
25-06-29,5.0,요사이즈가 한번에 먹기 딱이예요  왜인지모르겠는데 피티보다 캔이 더 탄산이 엄청난거같죠,Sunday
25-06-17,5.0,배송도 빠르고 저렴하게 잘 구매했습니당 앞으로도 계속 구매할게용 배송도 빠르고 저렴하게 잘 구매했습니당 앞으로도 계속 구매할게용,Tuesday
25-07-02,5.0,배송빠르고 시원하고 맛있어요,Wednesday
25-07-09,5.0,이전에 마시던 거였습니다.,Wednesday
25-07-06,5.0,올여름 시원한 콜라로 버텨볼랍니다,Sunday
25-06-24,5.0,190ml 라서 먹기 편해요 페트병으로 사면 나중에 김빠진 콜라가 되는데 항상 새것 먹는 느낌이네요,Tuesday
25-07-04,5.0,배송 빠르고 좋아요,Friday
25-07-16,5.0,갓성비 최고 입니다  포장도 아주 잘되어서 오고  맛도 아주 좋습니다,Wednesday
25-07-02,5.0,배송은 늦엇지만  잘받았습니다,Wednesday
25-06-29,5.0,배송 엄청 빨라요 코카 콜라 고고,Sunday
25-07-01,5.0,배송도 빠르고 상품도 좋아요,Tuesday
25-07-06,5.0,꼼꼼하게 잘왔습니다,Sunday
25-07-05,5.0,본사직영몰로 해서 담날 바로  받았어요,Saturday
25-07-02,5.0,배송빠르고 상품도좋아요,Wednesday
25-07-09,5.0,가족들이 잘마십니다.,Wednesday
25-07-02,5.0,부장님이 좋아하시는 콜라입니다  늘 주문 해드리고 있네요,Wednesday
25-07-02,5.0,좋습니다  다음에도 구매할게용,Wednesday
25-06-22,5.0,배송빠르고 좋아요옹 사이즈 적당하고 마시기좋아요엉 굿굿,Sunday
25-07-07,5.0,늘 사오건거라.. 딱히 불만 없어요,Monday
25-06-21,5.0,배송빠르구요 포장도 꼼꼼해요 아이들이 좋아해요,Saturday
25-07-02,5.0,저렴한 가격으로 시원하게 잘 마셨습니다,Wednesday
25-07-06,5.0,신나게 맛이게 먹고 또 먹고 나니 또 사야해요,Sunday
25-07-15,5.0,맛있어여,Tuesday
25-07-17,5.0,감사합니다. 사업 번창하시길,Thursday
25-07-20,5.0,좋은상품 잘받았습니다 감사합니다,Sunday
25-07-18,5.0,"정기적으로 구매하는데, 딱 적당한 양의 콜라라서  마음에 듭니다",Friday
25-07-16,2.0,캔이 다 찌그러져 배송되었어요  세워지지가 않네요,Wednesday
25-07-04,5.0,빠른 배송 좋아요,Friday
25-06-29,5.0,배송이 빠르고 사이즈가 적당합니다,Sunday
25-07-03,5.0,한번에 마실 수 있는 양이 알맞아 주문했습니다,Thursday
25-07-02,5.0,빠른 배송 감사합니다,Wednesday
25-07-05,5.0,제일 저렴하고 맛나요,Saturday
25-07-03,5.0,계속 주문하고 있습니다.  맛있어요,Thursday
25-07-11,3.0,살짝 탄산이 약한감이 있지만 잘먹고 있어요. 싸게 구매했으니 그정도는 감수합니다,Friday
25-06-12,5.0,느끼함을 한방에 잡아주는건 역시 콜라에요 다른곳에서 샀을땐 캔이 다 찌거리고 캔이 터져서 난리도 아니었는데 너무 깨끗하게 포장되어 하나도 손실없이 왔어요,Thursday
25-07-04,5.0,190ml 사이즈가 먹기 젤 좋은 사이즈라 좋아요 굿굿,Friday
25-07-02,5.0,항상 만족해서 여기만 이용합니다.,Wednesday
25-07-12,4.0,믿고먹느  코카콜라 정말 좋아요..  탄산 마니아는 최애 상품이죠..,Saturday
25-07-15,5.0,배송 빠르고 좋아요  항상 먹던거라,Tuesday
25-07-13,5.0,한 번 마시기에 적당한 양이라 좋습니다. 냉장고에 넉넉히 넣어두니 좋네요,Sunday
25-07-04,5.0,좋습니다 또 구매할께요,Friday
25-06-28,5.0,좋아요맛있어요시원해옷,Saturday
25-07-12,5.0,항상 잘 맛있게 마시고 있어요.감사합니다.,Saturday
25-07-02,5.0,배송도 빠르고 좋아요b,Wednesday
25-07-13,5.0,사무실용.사이즈도 좋고 좋아요0,Sunday
25-07-02,4.0,재구매 합니다 탄산 좋고 좋아요,Wednesday
25-07-08,5.0,고맙습니다. 잘 마실게요,Tuesday
25-07-04,5.0,잘 먹겠습니다 감사합니다,Friday
25-07-02,4.0,배송이 빨라서 좋아요,Wednesday
25-07-19,5.0,"가격도 좋고, 사무실용으로 사이즈도 좋아요",Saturday
25-07-08,5.0,자주 주문하고있어요!!,Tuesday
25-07-04,5.0,저렴하게 구입했어요,Friday
25-07-02,5.0,항상 쟁여놓고 무더운 요즘 시원하게 한잔합니다,Wednesday
25-06-29,5.0,배송빠르게 깔끔하게 배달완료입니다  잘마실께요,Sunday
25-06-23,5.0,주기적으로 시켜먹어요.이번엔 알람도 맞춰놨는데 라방 또못봤네 하놔..,Monday
25-07-18,5.0,언제나 믿고마셔요  폭염에 시원하게 한캔,Friday
25-07-01,5.0,배송도 빠르고 좋아요,Tuesday
25-07-02,5.0,더운 여름에 회사에서 마시려고 구매했습니다. 가격이 저렴한 걸로 구매하고 싶었는데 가격도 저렴하고 한번 마시기 딱 좋은 크기라 좋습니다.,Wednesday
25-07-03,5.0,저렴하게 잘 구입했어요,Thursday
25-07-09,5.0,최소 10자 이상 쓰기,Wednesday
25-07-02,5.0,배송도 빠르게 오고 포장상태도 좋습니다!,Wednesday
25-07-01,5.0,배송빠르고 맛있어요,Tuesday
25-07-03,5.0,항상 잘 이용하고 있습니다.,Thursday
25-06-23,5.0,집에 구비해두면 든든합니다. 음식이랑 같이 먹기 딱 좋은 사이즈입니다.,Monday
25-07-05,5.0,빠른배송 만족합니다,Saturday
25-06-30,5.0,용량도 적당하고 저렴하게 구매했습니다,Monday
25-07-03,5.0,좋은가격에 잘 구매했습니다.,Thursday
25-06-25,5.0,로켓배송에 적당한 용량이라 부담없이 마시기 좋아요.,Wednesday
25-07-01,5.0,늦은 저녁 9시 정도에 받았지만 제품은 이상 없습니다,Tuesday
25-07-18,5.0,회사에서 여름에 주문해서 사먹는데 저렴하고 좋습니다.,Friday
25-07-03,5.0,맛있어서 재구매 합니다,Thursday
25-06-24,5.0,적당량을 먹기 좋은 사이즈입니다. 지속구매중입니다,Tuesday
25-07-06,5.0,계속 구매하고 있어요,Sunday
25-07-03,4.0,역시 콜카콜라 맛있어요,Thursday
25-07-03,5.0,코카콜라 너무 찾게되는 날씨네요,Thursday
25-06-30,5.0,향상 주문해서 먹는 제품입니다  좋아요,Monday
25-07-02,5.0,배송빠르고 좋아요,Wednesday
25-07-03,5.0,파손없이 와서 좋아요,Thursday
25-07-05,5.0,빠른 배송 감사요.,Saturday
25-07-05,5.0,갈증나고 답답할때 최고,Saturday
25-06-29,5.0,콜라는 역시 코카콜라 저렴해서 좋아요 많이파세요,Sunday
25-07-02,5.0,가게에서 쓰기 너무좋아요,Wednesday
25-07-06,5.0,맛잇고 시원하고 싸고,Sunday
25-06-27,5.0,작은 사이즈 이어서 땡길 때 많이 먹지 않고 적당한 사이즈 좋습니다.,Friday
25-06-27,5.0,늘 잘 먹고 있어요. 맛있어요.,Friday
25-07-20,5.0,배송도 빠르고 제품도 최고에요,Sunday
25-06-24,5.0,너무 비싸요. 그나마 인터넷이 저렴한데 해외랑 비교하면 체감이 크네요.,Tuesday
25-06-28,5.0,마트보다 훨씬 저렴하고 배송 진짜 빠름!!,Saturday
25-07-06,5.0,잘 마시도록 할게요,Sunday
25-07-02,5.0,너무 시원하고 맛있어욕,Wednesday
25-06-23,5.0,가격 배송 아주 좋은데 박스가 좀 얕아서 비닐 뜯으면 이동시 캔이 쏟아지네요,Monday
25-07-20,5.0,쟁여놓고 먹습니다  사이즈가 딱입니다,Sunday
25-06-24,5.0,작은 싸이즈라서 어머니 드리려고 구매했어요 양이 딱이네요,Tuesday
25-07-01,5.0,맛있어요ㅎ 이거만 먹어요ㅎㅎ,Tuesday
25-07-21,3.0,잘맞네요 상태도좋고,Monday
25-07-02,5.0,190미리 사이즈가 먹기 딱 조아요,Wednesday
25-07-13,5.0,날씨도 더워서 가끔 하나씩 먹을라고 했는데  야이 많아성 뿌듯하네요,Sunday
25-07-04,5.0,맛있게 먹고 있어요.,Friday
25-06-26,5.0,콜라 딱 이정도사이즈가 좋고 인터넷이 더 싸서 재구매해요,Thursday
25-07-02,5.0,배송빨라좋아요,Wednesday
25-07-16,5.0,좋아요 잘구매한거 같네용,Wednesday
25-07-04,5.0,코카콜라 맛있어요!!,Friday
25-06-17,5.0,좋아요 배송빠르고  작은사이즈라서 한번에 다마실수있어용,Tuesday
25-07-16,5.0,아들이 아주좋아해요 재구매할게요,Wednesday
25-07-01,5.0,코카콜라  맛있게 잘먹었습니다,Tuesday
25-07-03,5.0,코카콜라가 말이 필요한가요?,Thursday
25-07-02,5.0,미니 콜라가 먹기 편해서 주문했어요!,Wednesday
25-07-09,5.0,역시 더울때는 Coke,Wednesday
25-06-21,5.0,쟁여두고 마시는 콜라ㅎㅎ 배송 완전 빠르고 가격도 좋습니다,Saturday
25-06-24,5.0,콜라는 코카콜라.  크기도 적당해서 한번에 마시기 딱 좋아요.,Tuesday
25-06-28,5.0,배달 빠르고 너무 좋아요,Saturday
25-07-12,5.0,구매하고 나니 다른 사이트에서 3천원이나 더 저렴하게 판매해서 살짝 속상했지만 ㅋ잘 먹을께요,Saturday
25-06-30,5.0,없으면 안되는 우리집 필수템,Monday
25-06-28,5.0,여전히 배송이 상당히 빠르네요  좋아요,Saturday
25-06-13,5.0,작은 용량이 활용도가 높아서 손이 자주 갑니다. 배송도 빠르게 왔어요. 감사합니다.,Friday
25-07-17,5.0,코카콜라 맛있다! 자주시켜먹겠습니다.,Thursday
25-07-06,5.0,코카콜라 없인 못 살아 정말 못 살아!!,Sunday
25-07-01,5.0,이 사이즈가 먹기가 제일 좋아요,Tuesday
25-07-01,5.0,안전하게 잘 받았습니다,Tuesday
25-07-03,5.0,질받있습니디 많이파세요,Thursday
25-07-03,5.0,콜라는 항상 이곳 직영점에서..,Thursday
25-07-20,4.0,계속 시켜먹는데 맛있습니다,Sunday
25-07-03,5.0,항상 구매하는 제품입니다.,Thursday
25-06-19,4.0,전 콜라늘 소화제로 먹어요 막혔다 싶을때 한캔 먹으면 좋아져요,Thursday
25-06-29,5.0,빠른 배송 감사합니다,Sunday
25-06-26,5.0,배송도 진짜 빠르고 포장더 깔끔하게 와서 좋아여,Thursday
25-06-19,5.0,콜라를 좋아하는데 한번에 많이 먹지는 않는 편인데 사이즈가 작아 딱 좋아요,Thursday
25-06-25,5.0,늘 빠르게 배송와서 주기적으로 잘 마시고 있습니다,Wednesday
25-07-14,5.0,용량이 크지 않아 가지고 다니기도 편하고 한번씩 먹기 좋아요,Monday
25-06-23,5.0,저렴한 가격에 좋은 상품 구매해서 감사합니다,Monday
25-07-03,5.0,사무실에서 먹으려고 주문,Thursday
25-06-09,5.0,빠른배송꼼꼼한포장  190사이즈 딱좋아요 큰사이즈는먹다가많이남는데 혼자먹기좋은사이즈네요 쟁겨놓고먹어요,Monday
25-07-01,5.0,배송빠르게 잘받았습니다,Tuesday
25-07-04,5.0,잘 받았습니다,Friday
25-07-19,5.0,잘 받았습니다. 좋아요,Saturday
25-06-27,5.0,캔 이상없이 잘 받았어요,Friday
25-07-02,5.0,콜라는항상 여기서 시킵니다,Wednesday
