date,rate,review
2025.04.29,5,떨어지기 전에 주문해요. 좋아요
2025.04.27,5,저렴하게 잘샀어요 빠른배송감사합니다
2025.04.01,5,잘 받았습니다. 감사합니다 ^^
2024.09.18,5,추석연휴 앞두고 탄산이 필요할것같아서 주문한 코카콜라^^ 크기도 귀엽고 탄산이 살아았어 좋아요
2025.07.15,5,좋아요 잘 마시고 있어요
2025.07.08,5,용량이  한번에  먹기에 적당하고  맛있어요
2025.07.03,5,양도 적당하고  맛있고 좋아요
2025.07.02,5,늘 사용하는 제품입니다
2025.06.04,5,"자주 구매하는 제품, 이마트에서 사면 싸서 좋아요 190ml는 한번에 마시기 좋고 주로 피자, 치킨 배달음식에 먹는 편입니다"
2025.02.17,5,잘 받았습니다. 감사합니다
2025.01.20,5,늘 쟁여놓는 콜라에요. 맛있고 배송 빨라요.
2025.01.04,5,용량이 적당해  한번에 마시기 좋아요.
2025.01.04,5,늘 쟁여둡니다. 문의 드릴 일 있었는데 처리도 빠르고 친절했어요.
2025.06.26,5,쓱 배송으로 만나 좋습니다. 감사합니다.
2025.06.25,5,할인해서 저렴하게 구입했습니다
2025.06.24,5,행사가격으로 샀는데 에스머니도 적립 받았고 쿠x보다 저렴하게 샀어요 ㅎㅎ
2025.06.19,5,새벽배송 편하고좋아요
2025.06.16,5,싸고양도만아요 쿠팡보다쌈
2025.06.16,5,좋아요 잘 마시고 있어요
2025.06.14,5,저렴하게 잘구매했어용.
2025.06.09,5,항시 구매 하는 품목... 좋아용 ^^*
2025.06.08,5,임신중이라 소화안될때 적은 용량이라 좋아요
2025.06.05,5,구매해서 만족합니다.
2025.06.03,5,배송 빠르고 작은 캔 좃아요
2025.06.02,5,할인가격에 적립도 해주고 저렴한 가격에 잘샀습니다
2025.06.02,5,늘 쟁여두고 사용합니다.좋아요
2025.05.16,5,만족스러운 상품입니다.  빠른 배송 감사드립니다. 재구매 의사 있습니다~!!
2025.05.13,5,용량이 적어서 남기지 않아서 좋아요
2025.05.11,5,양이 작아서 좋아요.
2025.05.07,5,좋아요 잘 마시고 있어요
2025.05.04,5,냉장고에 늘 쟁여놓아요
2025.05.03,5,저렴하게잘구입합니다.
2025.04.30,5,적당한 크기에 만족합니다
2025.04.24,5,한번에  먹을수 있는  적당량이고   맛도  만족합니다
2025.04.18,5,느끼한 음식엔 콜라죠
2025.04.08,5,저렴하게 잘 구매했습니다 마음에 듭니다
2025.04.06,5,진짜싸게 구잎쌔써ㅛ
2025.04.03,5,박스로 구매하는게 싸요
2024.12.06,5,역시 콜라는 코카콜라 세일하길래 얼른 쟁여뒀어요~
2024.11.11,5,너무 많이 안 마시려고 쁘띠사이즈로 사먹어요
2024.10.25,5,항상 구매하는 제품인데 저렴하게 사게되서 만족해요
2024.10.17,5,배송빠르네요ㅋㅋ 콜라는 역시 코카콜라 쟁여템ㅋㅋ
2024.10.12,5,쟁여템이예요. 저렴해요.
2024.05.08,5,늘 재구매해서 쟁여두고 마시는데 저번엔 한번 찌그러져 와서 맛이 없더라구요. 근데 그때는 아는분이 다른데서 구매했던것도 그랬었네요. 이후로는 제대로 오고 있어요. 여름이라 시원한 탄산이 더 생각나겠어요.
2025.05.22,4,작은 사이즈로 되어 있어서 한 번에 먹기 좋은 거 같아요 콜라 좋아하는 사람한테 선물 했어요.
2025.03.21,5,배송 빠르고 좋아요ㅎ
2025.03.21,5,잘 받아보았습니다. 재구매의사있습니다. 빠른 배송 감사드립니다.
2025.03.21,5,본사직영인지 몰라도  결제후 바로배송. 꼼꼼한 포장 늘 만족합니다
2025.03.11,5,가격도  싸고  맛도  좋아요
2025.03.04,5,배송도빠르고 만족합니다
2025.02.21,5,꼼꼼하게 전체 비닐로 래핑되서 배달왔습니다 탕비실에 두기 딱 좋은 사이즈에요
2025.02.15,5,저렴하게 잘 구매했어요!
2025.02.11,5,항상 구매합니다 좋아요
2025.02.07,5,용량이 작아서 먹기 편해요
2025.02.02,5,늘주문하는거에요ㅎㅎㅎ
2025.01.20,5,"가격도 저렴하고, 배송도 빨라서 정말 좋습니다"
2025.01.18,5,용량이 작아 한번에 먹기 좋아요
2025.01.11,5,상품 너무 좋아요  감사합니다
2025.01.10,5,용량 작아서 먹기 편해요
2025.01.09,5,항상  애용하는  코카콜라이고 양도  적당해서  좋아요
2025.01.06,5,작은용량이라 좋아요. 딱 한번 마시기 좋습니다~~^^
2025.01.03,5,역시 콜라는 코카콜라
2025.01.03,5,좋아요 잘 마시고 있어요
2025.01.01,5,"늘 콜라를 사두는데, 용량을 좀 줄여 먹고 있어요. 만족합니다."
2025.01.01,5,행사로 구매했습니다
2024.11.26,5,늘 같은곳에서만 주문합니다  포장도 꼼꼼하고 날짜도 길고 .. 파손되는것이 .. 배송 잘 받았습니다
2024.11.07,5,늘 즐겨 마시는 코카콜라 착한가격에 빠른배송으로 잘 구매하였습니다. :) 이 용량이 부담없이 마시기 딱 좋아요~
2024.11.03,5,"콜라가 떨어지면 안됩니다. 핏자, 치킨, 먹을 때는 반드시 필요합니다. 그래서 자주 구매합니다. 190ml는 한번에 마시고 남기지 않아서 좋습니다"
2024.08.14,5,소용량이라 한번에 마시기 좋아요 파손없이 배송  잘 받았어요
2024.12.29,5,항상 구매하는 품목이에요~^^ 좋아요
2024.12.29,5,한번 먹기  좋은 양이에요
2024.12.26,5,콜라는 역시 코카콜라
2024.12.23,5,좋은가격에 좋은물건 빠른배송에 감사드립니다 .
2024.12.22,5,맛있어요 자주 사먹어요
2024.12.19,5,항상주문합니다 좋아요
2024.12.16,5,항상 구비하는거라 할인받아 잘 구매했습니다
2024.12.13,5,콜라 늘 주문합니다.
2024.12.12,5,한번에  먹을수  있는양이라 좋아요
2024.12.10,5,쓱배송 시간대 설정해서 제개인적으론 좋아요ㅎ
2024.12.10,5,만족합니다. 만족합니다.
2024.12.09,5,직원 복지용으로 구매 했습니다. 좋아요.
2024.11.30,5,친구가 매일 1캔씩 마시는 사람이라..적게마시라고 작은 사이즈로 보냈아요.
2024.11.27,5,사무실 간식으로 구매했습니다. 좋아요!
2024.11.24,5,애식템 입니다 ~~
2024.11.23,5,할인가에 박스로구매해봤어요
2024.11.22,5,좋아요 잘 마시고 있어요
2024.11.21,5,빠른배송 감사합니다
2024.11.20,5,떨어지면 안되는 필수품
2024.11.19,5,최애 콜라입니다.한모금으로 마시기에 좋아요
2024.11.19,5,소포장으로 간편해요.
2024.11.16,5,자주사는 제품입니다ㅡ
2024.11.16,5,배송도 빠르고 좋아요
2024.11.13,5,"가성비 최고, 쿠팡보다 저렴. 로켓베송이니 뭐니 머리들을 너무쓰니 그리로 가고싶지않다"
2024.11.06,5,세일해서 얼른 샀어요^^
2024.11.05,5,가성비 짱입니다 ㅎㅎ
2024.11.04,5,좋은금액에 배송도 빠르네요.
2024.11.04,5,"배송도 잘 왔고, 유통기한도 넉넉해요"
2024.11.01,5,매번 주문하는 거에요
2024.11.01,5,매번 잘 주문하고있어요. 감사합니다~! 다음에 또 주문할게요~!!
2024.10.21,5,항상 구매하는 제품입니다
2024.10.15,5,배송 빠르고 작아서 자주 먹습니다
2024.10.13,5,맛있게 잘 먹었습니다. 좋아요~
2024.10.12,5,싸게 잘 샀네요 좋아요
2024.10.07,5,배송도 빠르고 깔끔하게 왔습니다
2024.10.05,5,맛잇고 배송이 빨라요
2024.10.01,5,좋아요 잘 마시고 있어요
2024.09.12,5,포장도꼼꼼하게 되 있고 마트세일하는것보다 ..전문 음료매장 세일가보다 가격이 더 저렴합니다
2024.08.29,5,요즘 사이다만 먹다가 콜라 다시 주문. 입맛이 둔해진건지... 요즘 탄산음료 탄산이 약해지게 느껴... 다시  콜라주문... 콜라는 탄산이 조금 더 강했으면 좋겠다.
2024.06.25,5,싸게 잘 샀어요~~마니 파세여~~^^
2024.06.23,5,무료배송으로 잘왔어요.배송빨라요
2024.06.20,5,맛있는 음료 저렴하게 샀고 편하게 배달도 해주셨어요~~
2024.06.19,5,잘 받았습니다. 감사합니다 ^^
2024.04.06,5,자주애용하는 필수템입니다
2025.01.17,3,코카콜라 도착 했어요  탄산이 적은 느낌 아쉬움
2024.09.26,5,저렴하게 구매했습니다
2024.09.22,5,제로줄알고 잘못샀다는….. 사실 오리지널이 맛있죠ㅋㅋ
2024.09.19,5,라이브로 보다 저렴하게 구입했어요!!!!
2024.09.19,5,배송과포장이 좋았어요
2024.09.16,5,항상 애용하는 제품입니다
2024.09.16,5,늘 애용하는 제품입니다
2024.09.15,5,비상 콜라 주문합니다
2024.09.12,5,맛있어요~~~ 배송도 잘왔습니다!
2024.09.12,5,꼼꼼하게 포장이 되 있어 늘 안심하고 주문.. 할인매장도 가격이 더 저렴합니다
2024.09.12,5,"가격, 품질, 배송 모두 만족합니다. 항상 여기서 구매하고 있습니다."
2024.09.11,5,빠른배송감사합니다.좋아요
2024.09.09,5,맛잇고 배송빨라요.
2024.09.05,5,회사사람들이 만족해요
2024.09.01,5,"기대이상으로 좋고, 매우 만족합니다~"
2024.08.31,5,맛잇고 배송이빨라요
2024.08.27,5,파손없이 꼼꼼히 잘 왔어요~배송상태 굿
2024.08.27,5,좋아요 잘 마시고 있어요
2024.08.26,5,포장과배송상태도 좋았어요
2024.08.23,5,좋습니다 ~ 감사감사
2024.08.13,5,할인해서 저렴하게 샀어요.
2024.08.12,5,잘 받았습니다~~~
2024.08.08,5,자주시키는데 괜찮은거 같아요
2024.08.05,5,넉넉한 기일과 꼼꼼한 포장 감사합니다 ^^
2024.08.04,5,가격도  좋고    한캔의  양도  알맞고   맛은  물론  좋아요
2024.07.31,5,적당한 가격에 만족합니다
2024.07.28,5,좋아요 추천합니다.
2024.07.23,5,좋아요 잘 마시고 있어요
2024.07.19,5,빠른 배송 감사합니다 저렴하게 잘 샀네요
2024.07.17,5,항상 주문하는 제품이에요 만족해요
2024.07.16,5,저렴하게 구매했습니다
2024.07.12,5,맛있게 잘 먹었습니다. 좋아요!
2024.07.09,5,항상 구매하는 상품입니다.
2024.07.08,5,배송빠르고 제품좋아요
2024.07.06,5,저렴하게 잘 구매했어요
2024.07.06,5,끊이면 안되는 간식이에요
2024.07.05,5,코카콜라 작캔은 간편하게먹기딱입니다
2024.07.05,5,이 사이즈가 딱! 한번에 먹기 조ㅗ아요
2024.07.04,5,양도  남기지  않을 만큼 적당하고  맛도  좋아요
2024.07.03,5,빠른배송에 감사드립니다
2024.07.03,5,만족합니다! 쓱배송으로 만나 기뻐요^^
2024.07.03,5,넉넉히 잘 마시고 있습니다
2024.07.01,5,가성비 좋게 잘 구매해서 기분 좋아요 포장도 잘 왔어요
2024.03.17,5,배송빠르고 안전하게 왔어요
2024.03.12,5,할인받아서 저렴하게 구매했어요
2024.03.10,5,저렴한 가격에 꼼꼼한 포장 좋았습니다
2024.03.10,5,저렴하게 사서 쟁겨두고 먹으니 좋아요
2024.03.09,5,유통기한도 넉넉하고 종종 할인행사 해주세요.
2024.02.25,5,잘 받았습니다. 남편이 잘 먹고 있습니다.
2024.02.14,5,너무너무 저렴하게 잘 샀어요 ㅎㅎ 감사합니다 맛있어요
2024.01.19,5,엄청 싼 가격에 구입했어요 배송도 빨랐어요
2024.01.09,5,배송빠르고 안전하게 왔어요  저렴하게 잘샀습니다
2024.01.06,5,저렴하게 구매했어요.
2023.11.23,5,탄산 음료를 자주 먹는 편은 아닌데 요즘 들어 조금 땡겨서 구매했어요. 사이즈가 아담해서 한모금 확인 너무 좋은 거 같아요.
2023.08.01,5,더운 여름에는 더할나위없는 제품입니다. 배송도 빠르고 언전하게 포장돠어 도착했네요.
2024.12.26,4,항상 믿고 구매하는 상품 입니다 잘 먹고 있어요
2024.11.06,3,캔 하나 옆구리가 찢어져 있어서 밑으로 다 샜더라구요. 찌그러진건 없었는데 어쩌다 찢어진건지 모르겠어요. 한개만 그래요. 반품 귀찮아서 그냥 수령합니다. 유통기한은 26년이라 넉넉해서 좋네요
2024.09.23,5,최고예요!
2024.08.30,5,최고예요!
2024.06.30,5,콜라 유통기한 길어요
2024.06.27,5,한 번에 마시기에 부족함 없는 용량입니다
2024.06.24,5,"배송도 빨랐고 좋아요, 맛있ㅇ요"
2024.06.22,5,자주 구매하는 상품인데.. 쿠폰까지 와서 저렴하게 구매합니다
2024.06.20,5,코카콜라 다량구매하면 가격도 좋아요
2024.06.12,5,배송과포장이 좋았어요
2024.06.11,5,한번에 먹기 딱 좋은 양입니다
2024.06.06,5,배송 빠르고 시원해요~
2024.06.04,5,항상 애용하는 제품입니다
2024.06.04,5,시원하게 쟁여두고 먹기 좋아요
2024.05.31,5,좋아요 추천합니다.
2024.05.28,5,좋아요 잘 마시고 있어요
2024.05.27,5,배송도 빠르고 가성비도 좋아요~ 재주문 할게요^^
2024.05.26,5,코카콜라 공식 배송이라 늘 믿고 구입합니다  포장상태도 꼼꼼하고 유통기간도 넉넉합니다
2024.05.19,5,만족합니다. 만족합니다
2024.05.15,5,배송빠르고 사이즈 적당 좋아요
2024.05.13,5,용량 작아서 먹기 편해요
2024.05.08,5,늘 맛있는 코카콜라입니다~
2024.05.06,5,포장과배송상태도 잘 받았습니다
2024.05.06,5,우리가 아는 맛이에요
2024.05.05,5,자주 구매하는 상품입니다. 좋아요~~
2024.04.30,5,좋아요. 맛있게 먹겠습니다~
2024.04.28,5,좋아요 잘마시고있습니다 굿
2024.04.27,5,콜라는 역시 코카콜라기는 한데 독점이다 보니 요금인상이 수시로 이루어지네요 ㅠ.ㅠ
2024.04.25,5,배송 빠르게 잘 받았습니다
2024.04.24,5,배송 빠르게 잘 받았습니다
2024.04.20,5,좋아요 추천합니다.
2024.04.19,5,사이즈가 죄책감 없고 미시고 싶을때 마실 수 있어 좋아요
2024.04.14,5,항상 애용하는 제품입니다
2024.04.14,5,사이즈 좋고 배송 빠르고 좋아요
2024.04.09,5,자주 구매하는 제품입니다
2024.04.09,5,좋아요 빠룬배송 감사합니다 많이 파세요 굿굿
2024.04.05,5,코카콜라 넘 잘먹는 아이템
2024.04.04,5,한번에  먹기에  적당한 양이라  좋아요
2024.04.02,5,저렴하니깐 자주 사게 됩니다. 자주 구매할 것 같네요.
2024.04.01,5,탄산음료로는 가장 적합합니다
2024.01.12,5,용량이 190ml라 한번 먹을 양으로 적당한데 수퍼나 편의점에선 살수가 없었는데 이마트 앱에선 살 수 있습니다..
2023.12.27,5,만족합니다. 감사합니다
2023.12.23,5,항상 맛있게 먹고 있어요. 작은 용량이라 좋아요
2023.12.06,5,저렴하게 구매했어요.
2023.12.05,5,잘받았어요  사이즈가 작어서 좋네요  많이파세요
2023.11.27,5,배송빠르고  안전하게 왔어요
2023.11.23,5,배송빠르고 안전하게 왔어요
2023.11.15,5,배송도 빠르고 다른곳보다 포장이 꼼껌했어요
2023.11.14,5,크기가 작아 가끔 마시고 싶을때 부담없이 마실 수 있어 좋아요
2023.11.14,5,코카콜라 저렴하게 샀어요
2023.11.10,5,한번 먹기 좋은 사이즈라 자주 구매합니다
2023.11.10,5,항상주문합니다 맛나요
2023.10.30,5,항상 주문하는 제품 만족해요
2023.10.08,5,빠른배송감사합니다.
2023.07.23,5,야외에서 작업할 때 시원한 아이스팩과 같이 넣어 두었다가 더울때 꺼내 먹어요~ 청량하고 좋습니다!
2023.07.23,5,야외에서 작업할 때 시원한 아이스팩과 같이 넣어 두었다가 더울때 꺼내 먹어요~ 청량하고 좋습니다!
2024.09.01,4,제로산다는게 잘못사서ㅜㅜ 아웃 박스포장좀 해주세요
2024.08.25,3,코카콜라 190캔 30입  도착 했습니다
2024.08.24,4,빠른 배송 좋습니다.
2024.05.09,5,최고예요!
2024.04.23,5,좋아요~~~~
2024.03.29,5,자주 구매하는 제품입니다
2024.03.28,5,느끼한거 먹을때  꼭 필요해서 늘 구매합니다
2024.03.27,5,맛있어요 맛있어요..
2024.03.27,5,늘 사던 제품이에요 ㅎ
2024.03.23,5,구매결과만족합니다.
2024.03.14,5,빠른배송으로잘받았습니다
2024.03.14,5,맛있어서 자주 구매합니다
2024.03.12,5,회사간식으로 자주구매하는 품목입니다
2024.03.11,5,냉장고에 늘 구비해놓는 아이템입니다
